Time	Close	High	Low	Open	Volume	Typical Price	Price*Volume	Total PV	Total Volume	VWAP
09:30:00	38.90	38.96	38.90	38.96	69550	38.93	2707581.50	2707581.50	69550.00	38.930
09:31:00	38.94	38.97	38.86	38.92	27617	38.92	1074922.68	3782504.18	97167.00	38.928
09:32:00	38.91	38.96	38.91	38.94	11441	38.93	445398.13	4227902.31	108608.00	38.928
09:33:00	38.89	38.94	38.88	38.92	23587	38.91	917710.61	5145612.93	132195.00	38.924
09:34:00	38.90	38.94	38.90	38.90	10771	38.91	419099.61	5564712.54	142966.00	38.923
09:35:00	38.97	38.97	38.90	38.90	12721	38.93	495276.23	6059988.77	155687.00	38.924
09:36:00	38.92	38.96	38.92	38.96	16471	38.94	641384.86	6701373.63	172158.00	38.926
09:37:00	38.90	38.93	38.86	38.93	23788	38.91	925472.14	7626845.77	195946.00	38.923
09:38:00	38.90	38.92	38.89	38.89	9170	38.90	356701.54	7983547.30	205116.00	38.922
09:39:00	38.92	38.92	38.88	38.91	4644	38.91	180682.02	8164229.32	209760.00	38.922
09:40:00	38.90	38.92	38.88	38.91	4917	38.90	191283.59	8355512.92	214677.00	38.921
